request_id,input_tokens,output_tokens,ttft_ms,e2e_ms,tpot_ms
sharegpt_wRyWxD2_18,1665,4,998.387,1043.883,15.165
sharegpt_kv271Gd_40,25,795,932.036,18836.089,22.549
sharegpt_bEQJqxw_0,140,1025,530.721,23936.587,22.857
sharegpt_8sl3rDY_0,33,280,530.639,7102.066,23.554
sharegpt_EKVf2RL_0,34,667,797.96,15901.495,22.678
sharegpt_AieydaK_0,45,4,797.661,995.343,65.894
sharegpt_E3SwF8i_0,76,362,530.311,8958.859,23.348
sharegpt_Yu9nEQY_44,30,307,797.283,7753.708,22.733
sharegpt_kjeGJvK_2,976,621,662.653,14833.251,22.856
sharegpt_u7ynJaV_0,374,325,662.491,8144.115,23.091
sharegpt_Y6nhEqm_0,41,630,931.647,15101.679,22.528
sharegpt_U3KZdH9_0,64,1025,662.397,23958.739,22.75
sharegpt_ksLyHFO_0,62,1025,797.144,23979.117,22.639
sharegpt_EcvnZ3B_8,394,270,797.008,6923.84,22.776
sharegpt_j6HIlwY_0,42,598,797.17,14342.964,22.69
sharegpt_OlhSVrJ_0,52,58,796.507,2198.318,24.593
sharegpt_bLv7JMf_0,21,751,529.507,17728.284,22.932
sharegpt_sh6WkqO_0,65,49,931.069,2020.934,22.706
sharegpt_r3WT7hv_0,201,732,930.999,17371.873,22.491
sharegpt_7uUzx6Z_4,917,746,661.966,17640.871,22.79
sharegpt_ZivWPmv_0,748,452,930.61,11023.028,22.378
sharegpt_eIibBFp_0,26,531,930.843,12832.208,22.455
sharegpt_1bziJ0t_0,43,955,419.759,22363.897,23.002
sharegpt_GUVjQIR_0,24,345,795.059,8617.101,22.738
sharegpt_EY52KT1_0,103,638,527.373,15207.026,23.045
sharegpt_SXOonXB_16,846,447,527.543,10840.125,23.122
sharegpt_tDPXObj_0,397,379,527.383,9321.654,23.265
sharegpt_5nINNyc_0,32,481,527.467,11648.315,23.168
sharegpt_cwzsyBR_0,29,628,527.405,14989.433,23.065
sharegpt_YzlCOF5_0,25,1025,527.285,23933.368,22.858
sharegpt_M8bwizw_0,110,364,794.545,9041.306,22.718
sharegpt_fiVI7Ln_0,106,765,527.148,18034.924,22.916
sharegpt_at1lmSN_0,22,249,659.776,6435.474,23.289
sharegpt_C3ePtjr_0,15,422,928.295,10353.196,22.387
sharegpt_vl3is2s_30,193,327,794.08,8211.406,22.753
sharegpt_xYPu2UN_0,164,124,794.252,3660.003,23.299
sharegpt_FH1eRUZ_0,32,309,794.246,7795.611,22.732
sharegpt_FjQjuhg_0,83,403,526.72,9864.842,23.229
sharegpt_yycpKrx_0,19,794,794.019,18787.371,22.69
sharegpt_Tnyb9mk_26,760,1025,794.033,23976.026,22.639
sharegpt_V8KAABo_0,164,478,68.823,10743.647,22.379
sharegpt_9Qep354_34,507,725,65.864,16308.479,22.435
sharegpt_PUZlqBP_0,534,1025,66.832,23083.51,22.477
sharegpt_RhAc4fh_0,228,236,65.472,5283.465,22.204
sharegpt_ASOnp4D_0,43,373,66.41,8411.226,22.432
sharegpt_5bzpd5P_0,13,453,63.671,10237.963,22.509
sharegpt_0M8jndL_0,20,336,63.857,7619.517,22.554
sharegpt_GPKEDmZ_0,71,116,66.736,2631.609,22.303
sharegpt_IOhW1Iq_50,317,76,65.921,1733.388,22.233
sharegpt_NeBDpcw_24,168,987,67.129,22117.868,22.364
sharegpt_JrQCmm5_0,18,142,66.595,3201.82,22.236
sharegpt_gcVkCKD_0,146,462,69.419,10481.249,22.585
sharegpt_7JhALAY_0,222,475,66.406,10811.979,22.67
sharegpt_GRk1LPZ_0,70,255,66.999,5788.895,22.527
sharegpt_U3S02iq_0,14,524,63.134,11905.674,22.643
sharegpt_2wDnY0N_0,25,803,62.712,18093.114,22.482
sharegpt_qRbHQU7_12,45,644,63.269,14588.054,22.589
sharegpt_yMxOowb_132,629,986,73.824,22034.17,22.295
sharegpt_qLEszEA_208,37,247,67.404,5627.703,22.603
sharegpt_xuR7z91_26,63,110,64.793,2513.917,22.469
sharegpt_yxQxL6n_0,94,562,65.237,12765.434,22.638
sharegpt_yAwGFqP_100,515,590,68.839,13375.769,22.592
sharegpt_D0cbbeB_4,1110,931,113.824,20792.152,22.235
sharegpt_WAOAkJZ_0,44,697,112.57,15739.856,22.453
