request_id,input_tokens,output_tokens,ttft_ms,e2e_ms,tpot_ms
0,1665,763,2338.634,23386.341,27.622
1,25,409,2338.111,23381.11,51.576
2,140,585,2338.065,23380.651,36.032
3,33,657,2338.013,23380.131,32.076
4,34,597,2337.986,23379.865,35.305
5,45,795,2337.958,23379.577,26.501
6,76,767,2337.931,23379.315,27.469
7,30,147,613.767,6137.673,37.835
8,976,500,2337.861,23378.608,42.166
9,374,395,2337.602,23376.017,53.397
10,41,826,2337.496,23374.962,25.5
11,64,756,2337.456,23374.56,27.864
12,62,811,2337.423,23374.234,25.971
13,394,817,2337.393,23373.927,25.78
14,42,797,2337.295,23372.952,26.427
15,52,773,2337.27,23372.697,27.248
16,21,735,2337.243,23372.433,28.658
17,65,762,2337.219,23372.192,27.641
18,201,593,2337.187,23371.87,35.532
19,917,859,2337.116,23371.156,24.515
20,748,243,897.311,8973.111,33.371
21,26,522,2336.731,23367.314,40.366
22,43,482,2336.707,23367.065,43.722
23,24,391,1071.131,10711.313,24.718
24,103,848,2336.639,23366.394,24.829
25,846,843,2336.602,23366.015,24.976
26,397,305,2336.439,23364.385,69.171
27,32,875,2336.336,23363.362,24.058
28,29,800,2336.312,23363.121,26.316
29,25,701,2336.289,23362.89,30.038
30,110,726,2336.268,23362.678,29.002
31,106,801,2336.227,23362.271,26.283
32,22,829,2336.186,23361.859,25.393
33,15,674,2336.165,23361.647,31.241
34,193,770,2336.143,23361.433,27.341
35,164,847,2336.087,23360.875,24.852
36,32,827,2336.036,23360.359,25.453
37,83,843,2336.002,23360.015,24.969
38,19,810,2335.967,23359.67,25.987
39,760,480,2335.943,23359.434,43.89
40,164,798,2335.761,23357.613,26.376
41,507,880,2335.713,23357.129,23.915
42,534,745,2335.602,23356.016,28.253
43,228,694,2335.467,23354.672,30.331
44,43,393,2335.402,23354.024,53.619
45,13,744,2335.372,23353.717,28.288
46,20,820,2335.35,23353.505,25.663
47,71,684,2335.33,23353.299,30.773
48,317,700,2335.298,23352.976,30.068
49,168,497,2335.043,23350.431,42.37
50,18,742,2334.986,23349.856,28.36
51,146,676,2334.961,23349.611,31.133
52,222,731,2334.911,23349.112,28.787
53,70,600,2334.851,23348.513,35.081
54,14,770,2334.814,23348.142,27.326
55,25,853,2334.794,23347.94,24.663
56,45,820,2334.772,23347.72,25.657
57,629,842,2334.744,23347.44,24.985
58,37,705,2334.593,23345.931,29.846
59,63,432,2334.564,23345.643,48.75
60,94,848,2334.527,23345.272,24.806
61,515,595,2334.476,23344.763,35.371
62,1110,516,2334.338,23343.379,40.794
63,44,698,2105.321,21053.21,27.185
64,64,672,2334.009,23340.086,31.306
65,173,510,2333.975,23339.751,41.269
66,56,470,1281.115,12811.154,24.584
67,17,799,2333.886,23338.864,26.322
68,1087,826,2333.864,23338.642,25.46
69,18,667,2333.629,23336.294,31.536
70,21,625,2333.606,23336.065,33.658
71,29,806,2333.584,23335.84,26.09
72,647,426,2333.562,23335.622,49.417
73,40,560,2333.397,23333.969,37.568
74,68,800,2333.361,23333.614,26.283
75,21,848,2333.328,23333.283,24.793
76,261,513,2333.307,23333.067,41.015
77,36,635,2333.223,23332.232,33.121
78,52,832,2333.196,23331.96,25.269
79,139,779,2333.17,23331.695,26.99
80,31,458,2333.127,23331.268,45.948
81,36,819,2333.1,23331.005,25.67
82,32,834,2333.077,23330.766,25.207
83,1336,451,2333.055,23330.551,46.661
84,34,517,2332.735,23327.351,40.687
85,12,809,2332.706,23327.063,25.983
86,532,1024,2332.686,23326.858,20.522
87,12,786,2332.53,23325.304,26.742
88,494,737,2332.509,23325.089,28.523
89,26,894,2332.386,23323.863,23.507
90,21,356,2332.363,23323.635,59.13
91,36,727,2332.338,23323.378,28.913
92,42,903,2332.314,23323.136,23.271
93,60,681,2332.289,23322.886,30.869
94,13,544,2332.258,23322.578,38.656
95,21,786,2332.236,23322.365,26.739
96,68,834,2332.216,23322.16,25.198
97,123,762,2332.182,23321.817,27.582
98,20,824,2332.138,23321.381,25.503
99,18,751,2332.111,23321.111,27.985
