request_id,input_tokens,output_tokens,ttft_ms,e2e_ms,tpot_ms
0,1665,690,2068.937,20689.374,27.025
1,25,375,2068.338,20683.382,49.773
2,140,854,2068.3,20682.999,21.823
3,33,779,2068.232,20682.32,23.926
4,34,859,2068.202,20682.016,21.694
5,45,829,2068.151,20681.506,22.48
6,76,766,2068.117,20681.168,24.331
7,30,326,2068.069,20680.688,57.27
8,976,875,2068.036,20680.36,21.296
9,374,639,2067.693,20676.93,29.168
10,41,894,2067.56,20675.598,20.838
11,64,745,2067.528,20675.278,25.01
12,62,753,2067.492,20674.922,24.744
13,394,844,2067.458,20674.584,22.073
14,42,839,2067.327,20673.268,22.203
15,52,872,2067.296,20672.965,21.361
16,21,522,2067.266,20672.662,35.711
17,65,788,2067.24,20672.401,23.641
18,201,896,2067.204,20672.041,20.788
19,917,766,2067.106,20671.065,24.319
20,748,569,2066.831,20668.31,32.749
21,26,871,2066.606,20666.061,21.379
22,43,558,2066.579,20665.786,33.392
23,24,750,2066.547,20665.473,24.832
24,103,919,2066.524,20665.236,20.26
25,846,851,2066.475,20664.752,21.88
26,397,541,2066.24,20662.402,34.437
27,32,944,2066.116,20661.157,19.719
28,29,779,2066.089,20660.887,23.901
29,25,825,2066.063,20660.631,22.566
30,110,635,2066.039,20660.393,29.329
31,106,883,2065.994,20659.945,21.082
32,22,828,2065.945,20659.452,22.483
33,15,730,2065.92,20659.205,25.505
34,193,685,2065.884,20658.842,27.183
35,164,811,2065.812,20658.123,22.953
36,32,840,2065.743,20657.433,22.159
37,83,842,2065.713,20657.132,22.106
38,19,910,2065.672,20656.716,20.452
39,760,748,2065.649,20656.491,24.887
40,164,956,2065.427,20654.267,19.465
41,507,852,2065.363,20653.635,21.843
42,534,788,2065.215,20652.151,23.617
43,228,878,2065.045,20650.446,21.192
44,43,816,2064.964,20649.635,22.803
45,13,502,1479.951,14799.512,26.586
46,20,911,2064.906,20649.059,20.422
47,71,691,2064.871,20648.707,26.933
48,317,812,2064.829,20648.292,22.914
49,168,857,2064.718,20647.175,21.708
50,18,585,2064.653,20646.532,31.818
51,146,731,2064.628,20646.276,25.454
52,222,817,2064.573,20645.73,22.771
53,70,671,2064.49,20644.897,27.732
54,14,931,2064.448,20644.484,19.979
55,25,933,2064.427,20644.273,19.935
56,45,911,2064.401,20644.014,20.417
57,629,794,2064.371,20643.714,23.429
58,37,738,2064.184,20641.843,25.207
59,63,834,2064.151,20641.508,22.302
60,94,834,2064.096,20640.964,22.301
61,515,879,2064.04,20640.403,21.158
62,1110,701,2063.887,20638.868,26.536
63,44,853,2063.495,20634.953,21.797
64,64,581,2063.464,20634.635,32.019
65,173,845,2063.425,20634.247,22.003
66,56,830,2063.362,20633.616,22.401
67,17,808,2063.328,20633.276,23.011
68,1087,915,2063.306,20633.056,20.317
69,18,790,2062.999,20629.993,23.532
70,21,960,2062.974,20629.742,19.361
71,29,592,2062.95,20629.496,31.415
72,647,760,2062.923,20629.232,24.462
73,40,667,2062.711,20627.113,27.874
74,68,936,2062.68,20626.798,19.855
75,21,864,2062.644,20626.439,21.511
76,261,766,2062.619,20626.187,24.266
77,36,588,2062.523,20625.226,31.623
78,52,939,2062.493,20624.926,19.789
79,139,816,2062.463,20624.626,22.776
80,31,617,1635.995,16359.949,23.903
81,36,924,1420.494,14204.945,13.851
82,32,758,1420.448,14204.484,16.888
83,1336,403,1420.408,14204.084,31.8
84,34,642,1419.982,14199.822,19.937
85,12,897,1419.945,14199.454,14.263
86,532,140,1419.92,14199.201,91.937
87,12,766,1419.738,14197.383,16.703
88,494,736,1419.712,14197.122,17.384
89,26,854,1419.543,14195.432,14.978
90,21,730,1419.51,14195.105,17.525
91,36,913,1419.481,14194.815,14.008
92,42,736,1419.451,14194.512,17.381
93,60,809,1419.416,14194.165,15.81
94,13,637,1419.375,14193.751,20.085
95,21,827,1419.347,14193.473,15.465
96,68,957,1419.32,14193.201,13.362
97,123,827,1418.937,14189.369,15.461
98,20,806,1418.876,14188.756,15.863
99,18,725,1418.848,14188.475,17.638
