request_id,input_tokens,output_tokens,ttft_ms,e2e_ms,tpot_ms
sharegpt_wRyWxD2_18,1665,4,1334.997,1378.342,14.448
sharegpt_kv271Gd_40,25,795,722.022,18483.095,22.369
sharegpt_bEQJqxw_0,140,874,305.401,20049.2,22.616
sharegpt_8sl3rDY_0,33,353,721.138,8955.422,23.393
sharegpt_EKVf2RL_0,34,661,721.548,15638.85,22.602
sharegpt_AieydaK_0,45,4,305.175,586.833,93.886
sharegpt_E3SwF8i_0,76,362,305.056,9083.627,24.317
sharegpt_Yu9nEQY_44,30,307,304.976,7883.263,24.766
sharegpt_kjeGJvK_2,976,621,304.946,14712.921,23.239
sharegpt_u7ynJaV_0,374,325,452.816,8297.098,24.211
sharegpt_Y6nhEqm_0,41,578,452.769,13813.736,23.156
sharegpt_U3KZdH9_0,64,848,857.189,19601.145,22.13
sharegpt_ksLyHFO_0,62,1010,857.243,22873.991,21.82
sharegpt_EcvnZ3B_8,394,270,995.12,7178.439,22.986
sharegpt_j6HIlwY_0,42,598,995.335,14328.427,22.333
sharegpt_OlhSVrJ_0,52,58,994.874,2480.174,26.058
sharegpt_bLv7JMf_0,21,633,994.87,15076.248,22.281
sharegpt_sh6WkqO_0,65,49,994.524,2282.907,26.841
sharegpt_r3WT7hv_0,201,732,995.089,17195.871,22.162
sharegpt_7uUzx6Z_4,917,746,994.989,17488.391,22.139
sharegpt_ZivWPmv_0,748,452,1131.889,11154.351,22.223
sharegpt_eIibBFp_0,26,537,1130.995,13030.679,22.201
sharegpt_1bziJ0t_0,43,955,1130.314,21803.301,21.67
sharegpt_GUVjQIR_0,24,345,583.884,8756.276,23.757
sharegpt_EY52KT1_0,103,638,1130.257,15204.974,22.095
sharegpt_SXOonXB_16,846,557,1129.683,13467.627,22.191
sharegpt_tDPXObj_0,397,379,584.001,9490.58,23.562
sharegpt_5nINNyc_0,32,564,1130.006,13619.821,22.184
sharegpt_cwzsyBR_0,29,603,583.83,14369.529,22.9
sharegpt_YzlCOF5_0,25,1025,1129.13,23225.594,21.579
sharegpt_M8bwizw_0,110,364,583.898,9167.302,23.646
sharegpt_fiVI7Ln_0,106,765,1129.69,17907.463,21.96
sharegpt_at1lmSN_0,22,249,1129.801,6742.684,22.633
sharegpt_C3ePtjr_0,15,422,583.236,10423.212,23.373
sharegpt_vl3is2s_30,193,327,583.664,8362.405,23.861
sharegpt_xYPu2UN_0,164,124,1129.433,4024.278,23.535
sharegpt_FH1eRUZ_0,32,309,583.408,7965.816,23.969
sharegpt_FjQjuhg_0,83,403,1129.503,10097.956,22.31
sharegpt_yycpKrx_0,19,776,582.881,18054.64,22.544
sharegpt_Tnyb9mk_26,760,1025,1290.539,23246.191,21.441
sharegpt_V8KAABo_0,164,478,582.842,11634.248,23.169
sharegpt_9Qep354_34,507,725,1290.455,17088.766,21.821
sharegpt_PUZlqBP_0,534,1025,717.775,23162.583,21.919
sharegpt_RhAc4fh_0,228,236,1289.95,6482.917,22.098
sharegpt_ASOnp4D_0,43,373,717.589,9381.943,23.291
sharegpt_5bzpd5P_0,13,453,1289.372,11193.696,21.912
sharegpt_0M8jndL_0,20,336,1289.71,8667.568,22.023
sharegpt_GPKEDmZ_0,71,116,717.171,3765.519,26.507
sharegpt_IOhW1Iq_50,317,76,170.835,2803.902,35.108
sharegpt_NeBDpcw_24,168,987,300.953,22325.216,22.337
sharegpt_JrQCmm5_0,18,142,717.495,4357.182,25.813
sharegpt_gcVkCKD_0,146,462,717.127,11301.903,22.96
sharegpt_7JhALAY_0,222,423,300.848,10399.73,23.931
sharegpt_GRk1LPZ_0,70,255,300.75,6740.498,25.353
sharegpt_U3S02iq_0,14,524,300.532,12596.115,23.51
sharegpt_2wDnY0N_0,25,803,716.643,18644.494,22.354
sharegpt_qRbHQU7_12,45,644,717.177,15267.96,22.63
sharegpt_yMxOowb_132,629,984,716.748,22324.815,21.982
sharegpt_qLEszEA_208,37,247,716.425,6633.12,24.052
