request_id,input_tokens,output_tokens,ttft_ms,e2e_ms,tpot_ms
sharegpt_wRyWxD2_18,1665,244,840.052,7725.957,28.337
sharegpt_kv271Gd_40,25,1025,253.71,29347.057,28.411
sharegpt_bEQJqxw_0,140,1025,390.168,29374.089,28.305
sharegpt_8sl3rDY_0,33,1025,527.163,29404.496,28.201
sharegpt_EKVf2RL_0,34,1025,390.18,29374.575,28.305
sharegpt_AieydaK_0,45,191,390.352,6155.709,30.344
sharegpt_E3SwF8i_0,76,1025,390.247,29374.6,28.305
sharegpt_Yu9nEQY_44,30,1025,390.075,29374.399,28.305
sharegpt_kjeGJvK_2,976,574,836.81,16920.273,28.069
sharegpt_u7ynJaV_0,374,795,526.768,23008.231,28.314
sharegpt_Y6nhEqm_0,41,1025,526.678,29404.096,28.201
sharegpt_U3KZdH9_0,64,1025,252.789,29344.64,28.41
sharegpt_ksLyHFO_0,62,1025,526.715,29404.155,28.201
sharegpt_EcvnZ3B_8,394,558,526.187,16423.9,28.542
sharegpt_j6HIlwY_0,42,1025,663.914,29512.136,28.172
sharegpt_OlhSVrJ_0,52,272,664.081,8472.542,28.814
sharegpt_bLv7JMf_0,21,1025,664.074,29512.201,28.172
sharegpt_sh6WkqO_0,65,415,389.582,12396.879,29.003
sharegpt_r3WT7hv_0,201,1025,116.758,29313.974,28.513
sharegpt_7uUzx6Z_4,917,1025,252.343,29344.404,28.41
sharegpt_ZivWPmv_0,748,1025,252.234,29345.579,28.411
sharegpt_eIibBFp_0,26,1025,524.755,29402.146,28.201
sharegpt_1bziJ0t_0,43,1025,250.842,29342.911,28.41
sharegpt_GUVjQIR_0,24,717,250.854,20789.9,28.686
sharegpt_EY52KT1_0,103,1025,387.808,29373.26,28.306
sharegpt_SXOonXB_16,846,1025,387.711,29372.077,28.305
sharegpt_tDPXObj_0,397,1025,662.166,29510.334,28.172
sharegpt_5nINNyc_0,32,1025,387.577,29372.983,28.306
sharegpt_cwzsyBR_0,29,1025,387.316,29371.727,28.305
sharegpt_YzlCOF5_0,25,1025,387.222,29371.58,28.305
sharegpt_M8bwizw_0,110,1025,387.519,29373.068,28.306
sharegpt_fiVI7Ln_0,106,1025,523.724,29400.147,28.2
sharegpt_at1lmSN_0,22,609,524.237,17808.741,28.428
sharegpt_C3ePtjr_0,15,607,524.16,17755.388,28.434
sharegpt_vl3is2s_30,193,1025,250.118,29342.14,28.41
sharegpt_xYPu2UN_0,164,1025,523.867,29401.335,28.201
sharegpt_FH1eRUZ_0,32,1025,523.48,29400.98,28.201
sharegpt_FjQjuhg_0,83,1025,523.336,29399.802,28.2
sharegpt_yycpKrx_0,19,1025,523.616,29400.982,28.201
sharegpt_Tnyb9mk_26,760,1025,386.933,29372.442,28.306
sharegpt_V8KAABo_0,164,1025,660.853,29508.983,28.172
sharegpt_9Qep354_34,507,1025,660.583,29508.019,28.171
sharegpt_PUZlqBP_0,534,1025,660.749,29508.921,28.172
sharegpt_RhAc4fh_0,228,717,660.78,20870.627,28.226
sharegpt_ASOnp4D_0,43,749,661.034,21757.977,28.204
sharegpt_5bzpd5P_0,13,1025,249.487,29342.894,28.412
sharegpt_0M8jndL_0,20,1025,249.323,29342.785,28.412
sharegpt_GPKEDmZ_0,71,846,522.788,24450.129,28.316
sharegpt_IOhW1Iq_50,317,762,523.0,22087.292,28.337
sharegpt_NeBDpcw_24,168,1025,249.18,29341.088,28.41
sharegpt_JrQCmm5_0,18,1025,85.02,28883.751,28.124
sharegpt_gcVkCKD_0,146,1025,83.42,28875.951,28.118
sharegpt_7JhALAY_0,222,1025,81.888,28871.461,28.115
sharegpt_GRk1LPZ_0,70,1025,80.983,28904.858,28.148
sharegpt_U3S02iq_0,14,1025,82.363,28864.769,28.108
sharegpt_2wDnY0N_0,25,1025,77.727,28875.272,28.123
sharegpt_qRbHQU7_12,45,1025,81.685,28900.411,28.143
sharegpt_yMxOowb_132,629,1025,88.112,28901.805,28.138
sharegpt_qLEszEA_208,37,809,81.788,22861.128,28.192
sharegpt_xuR7z91_26,63,1025,83.329,28934.046,28.175
sharegpt_yxQxL6n_0,94,1025,82.281,28925.764,28.167
sharegpt_yAwGFqP_100,515,1025,85.651,28928.492,28.167
sharegpt_D0cbbeB_4,1110,1025,123.552,28928.653,28.13
sharegpt_WAOAkJZ_0,44,1025,82.713,28988.804,28.229
sharegpt_3qVPZGU_0,64,1025,89.084,29391.775,28.616
sharegpt_wfchack_0,173,1025,166.037,29393.856,28.543
sharegpt_V8rl6n5_0,56,1025,166.576,29393.897,28.542
sharegpt_l6geHv4_42,17,1025,166.614,29393.831,28.542
sharegpt_9afria9_8,1087,1025,166.524,29393.692,28.542
sharegpt_vFtK0lQ_0,18,1025,166.395,29393.592,28.542
sharegpt_ITAvflY_0,21,1025,166.065,29393.21,28.542
sharegpt_xPGHSnV_0,29,1025,165.997,29393.115,28.542
sharegpt_jwZ0WX1_0,647,1025,165.962,29393.15,28.542
sharegpt_kfVsCGi_0,40,1025,166.796,29393.056,28.541
sharegpt_TgomyCL_0,68,1025,279.228,29396.12,28.434
sharegpt_ijIr7vm_0,21,1025,278.473,29395.595,28.435
sharegpt_uqppRZd_0,261,1025,278.646,29395.475,28.434
sharegpt_HELyvLS_0,36,1025,278.544,29395.376,28.434
sharegpt_xoAlW8C_0,52,1025,278.549,29395.308,28.434
sharegpt_vRkueLp_0,139,1025,278.73,29395.211,28.434
sharegpt_DvTeoPJ_0,31,1025,278.639,29395.122,28.434
sharegpt_iuA20cs_0,36,1025,278.275,29394.877,28.434
sharegpt_tfpx5io_0,32,833,278.186,23639.232,28.078
sharegpt_xQdCtMx_0,1336,1025,382.837,29423.438,28.36
sharegpt_Ws7UnN4_0,34,1025,382.761,29423.299,28.36
sharegpt_lQPFX1x_0,12,1025,354.238,29395.491,28.361
sharegpt_DFMYCG8_0,532,1025,354.268,29395.496,28.361
sharegpt_3JaBOCI_0,12,1025,353.635,29394.783,28.36
sharegpt_62YjlwM_20,494,1025,353.899,29394.618,28.36
sharegpt_DvSVEeb_0,26,963,353.724,27530.228,28.25
sharegpt_NzuWuye_0,21,861,353.631,24499.973,28.077
sharegpt_urObKlk_0,36,1025,353.562,29394.158,28.36
sharegpt_GhfOOFN_98,42,1025,353.465,29394.056,28.36
sharegpt_W6wCYNp_0,60,1025,353.431,29393.965,28.36
sharegpt_r5r0E6g_0,13,1025,280.999,29289.05,28.328
sharegpt_JlBAuMI_0,21,462,280.128,13136.887,27.889
sharegpt_hk6Ph3s_0,68,1014,279.947,28980.502,28.332
sharegpt_afqhKGj_0,123,1025,280.39,29287.88,28.328
sharegpt_KR4HUoi_0,20,1025,280.395,29287.601,28.327
sharegpt_9bdW6Qy_0,18,1025,280.286,29287.547,28.327
